xflr5 v6.39

Plane name :        CA2013 - Asa
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x62.3mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    9.000     0.000   1.628596   0.120215   0.026135   0.146350   0.000000  -0.000000  -0.323919   0.000000   0.000000   15.0000     0.1102
    9.500     0.000   1.664241   0.125543   0.026146   0.151689   0.000000  -0.000000  -0.323964   0.000000  -0.000000   15.0000     0.1091
   10.000     0.000   1.699646   0.130950   0.026213   0.157163   0.000000  -0.000000  -0.324001   0.000000  -0.000000   15.0000     0.1081
   10.500     0.000   1.734804   0.136431   0.026322   0.162753   0.000000  -0.000000  -0.324029   0.000000   0.000000   15.0000     0.1071
   11.000     0.000   1.769712   0.141983   0.026407   0.168390   0.000000  -0.000000  -0.324048  -0.000000  -0.000000   15.0000     0.1061
   11.500     0.000   1.804364   0.147603   0.026501   0.174103   0.000000  -0.000000  -0.324058  -0.000000   0.000000   15.0000     0.1052
   12.000     0.000   1.838756   0.153286   0.026703   0.179989   0.000000  -0.000000  -0.324059  -0.000000   0.000000   15.0000     0.1043
   12.500     0.000   1.872883   0.159031   0.026909   0.185939   0.000000  -0.000000  -0.324051  -0.000000  -0.000000   15.0000     0.1035
   13.000     0.000   1.906741   0.164831   0.027144   0.191976   0.000000  -0.000000  -0.324035  -0.000000   0.000000   15.0000     0.1027
   13.500     0.000   1.940325   0.170685   0.027425   0.198110   0.000000  -0.000000  -0.324010  -0.000000  -0.000000   15.0000     0.1019
   14.000     0.000   1.973632   0.176587   0.027729   0.204316   0.000000  -0.000000  -0.323975  -0.000000  -0.000000   15.0000     0.1012
   14.500     0.000   2.006657   0.182535   0.027997   0.210532   0.000000  -0.000000  -0.323932  -0.000000  -0.000000   15.0000     0.1005
   15.000     0.000   2.039396   0.188524   0.028328   0.216852   0.000000  -0.000000  -0.323881  -0.000000   0.000000   15.0000     0.0998
   15.500     0.000   2.071845   0.194550   0.028710   0.223260   0.000000  -0.000000  -0.323820  -0.000000   0.000000   15.0000     0.0992
   16.000     0.000   2.104000   0.200609   0.029110   0.229719   0.000000  -0.000000  -0.323751  -0.000000  -0.000000   15.0000     0.0986
   16.500     0.000   2.135859   0.206697   0.029517   0.236214   0.000000  -0.000000  -0.323672  -0.000000  -0.000000   15.0000     0.0980
   17.000     0.000   2.167417   0.212811   0.030039   0.242850   0.000000  -0.000000  -0.323586  -0.000000   0.000000   15.0000     0.0974
   17.500     0.000   2.198670   0.218946   0.030530   0.249476   0.000000  -0.000000  -0.323490  -0.000000  -0.000000   15.0000     0.0969
   18.000     0.000   2.229616   0.225097   0.031106   0.256203   0.000000  -0.000000  -0.323386  -0.000000  -0.000000   15.0000     0.0964
   18.500     0.000   2.260252   0.231262   0.025767   0.257029   0.000000  -0.000000  -0.323267  -0.000000   0.000000   15.0000     0.0959
   19.000     0.000   2.290573   0.237435   0.021527   0.258961   0.000000  -0.000000  -0.323140  -0.000000  -0.000000   15.0000     0.0954
   19.500     0.000   2.320578   0.243612   0.018770   0.262382   0.000000  -0.000000  -0.323007  -0.000000   0.000000   15.0000     0.0949
   20.000     0.000   2.350264   0.249790   0.017526   0.267315   0.000000  -0.000000  -0.322867  -0.000000   0.000000   15.0000     0.0945


