xflr5 v6.39

Plane name : CA2013 - 1,8 x 0,25
Polar name : T1-15.0 m/s-VLM2-proj_area
Freestream speed : 15.000 m/s


alpha Beta CL CDi CDv CD CY Cl Cm Cn Cni QInf XCP
12.000 0.000 1.809384 0.150309 0.031355 0.181664 0.000000 -0.000000 -0.006079 -0.000000 -0.000000 15.0000 0.0925
12.500 0.000 1.847197 0.156319 0.031605 0.187924 0.000000 -0.000000 -0.005297 -0.000000 -0.000000 15.0000 0.0931
13.000 0.000 1.884732 0.162416 0.031894 0.194310 0.000000 -0.000000 -0.004283 -0.000000 -0.000000 15.0000 0.0937
13.500 0.000 1.921981 0.168597 0.032289 0.200886 0.000000 -0.000000 -0.003002 -0.000000 -0.000000 15.0000 0.0943
14.000 0.000 1.958941 0.174857 0.032710 0.207566 0.000000 -0.000000 -0.001494 -0.000000 -0.000000 15.0000 0.0948
14.500 0.000 1.995606 0.181192 0.033095 0.214287 0.000000 -0.000000 0.000221 -0.000000 -0.000000 15.0000 0.0954
15.000 0.000 2.031970 0.187597 0.033542 0.221140 0.000000 -0.000000 0.002174 -0.000000 -0.000000 15.0000 0.0959
15.500 0.000 2.068030 0.194070 0.034041 0.228111 0.000000 -0.000000 0.004361 -0.000000 -0.000000 15.0000 0.0965
16.000 0.000 2.103780 0.200603 0.034561 0.235164 0.000000 -0.000000 0.006772 -0.000000 -0.000000 15.0000 0.0970
16.500 0.000 2.139215 0.207195 0.035102 0.242296 0.000000 -0.000000 0.009410 -0.000000 -0.000000 15.0000 0.0975
17.000 0.000 2.174332 0.213839 0.035763 0.249601 0.000000 -0.000000 0.012305 -0.000000 -0.000000 15.0000 0.0980
17.500 0.000 2.209124 0.220531 0.036388 0.256919 0.000000 -0.000000 0.015402 -0.000000 -0.000000 15.0000 0.0985
18.000 0.000 2.243590 0.227267 0.037146 0.264412 0.000000 -0.000000 0.018756 -0.000000 -0.000000 15.0000 0.0990
18.500 0.000 2.277723 0.234041 0.031936 0.265977 0.000000 -0.000000 0.020385 -0.000000 -0.000000 15.0000 0.0994
19.000 0.000 2.311520 0.240850 0.027798 0.268648 0.000000 -0.000000 0.022587 -0.000000 -0.000000 15.0000 0.0999
19.500 0.000 2.344978 0.247687 0.025159 0.272846 0.000000 -0.000000 0.025495 -0.000000 -0.000000 15.0000 0.1004
20.000 0.000 2.378092 0.254549 0.024191 0.278740 0.000000 -0.000000 0.029242 -0.000000 -0.000000 15.0000 0.1008


